iter	Logloss	Accuracy
238	0.3139876268	0.8952095808
239	0.313884693	0.8952095808
240	0.3133804232	0.8952095808
241	0.313266374	0.8952095808
242	0.3125873942	0.8952095808
243	0.3125716032	0.8952095808
244	0.3124107141	0.8952095808
245	0.3120558078	0.8952095808
246	0.3118030221	0.8952095808
247	0.3115541349	0.8952095808
248	0.3113835662	0.8952095808
249	0.3109113639	0.8952095808
250	0.3105904237	0.8952095808
251	0.3104614244	0.8952095808
252	0.3102894099	0.8952095808
253	0.3098848569	0.8952095808
254	0.3096089703	0.8952095808
255	0.3095388904	0.8967065868
256	0.3093805705	0.8967065868
257	0.3089447175	0.8952095808
258	0.3088279015	0.8952095808
259	0.3084806138	0.8952095808
260	0.3083580899	0.8952095808
261	0.3076091936	0.8967065868
262	0.3073588564	0.8967065868
263	0.3069483482	0.8967065868
264	0.3069207718	0.8967065868
265	0.3068479252	0.8967065868
266	0.3066469675	0.8967065868
267	0.3062193496	0.8967065868
268	0.3055804488	0.8967065868
269	0.3055582223	0.8967065868
270	0.3052150577	0.8967065868
271	0.3049012908	0.8967065868
272	0.303985145	0.8982035928
273	0.3037785545	0.8982035928
274	0.303582366	0.8982035928
275	0.3034915988	0.8982035928
276	0.3030852202	0.8982035928
277	0.3030279104	0.8982035928
278	0.3027175773	0.8982035928
279	0.3026976016	0.8982035928
280	0.3024985567	0.8982035928
281	0.302286243	0.8982035928
282	0.3018640709	0.8982035928
283	0.3014806837	0.8982035928
284	0.3012909165	0.8982035928
285	0.3012585315	0.8982035928
286	0.3011758088	0.8982035928
287	0.3007872069	0.8967065868
288	0.3004516018	0.8982035928
289	0.3003341157	0.8982035928
290	0.3001110065	0.8982035928
291	0.300049634	0.8982035928
292	0.2995600577	0.8982035928
293	0.2995112084	0.8997005988
294	0.2988606451	0.8982035928
295	0.2979923608	0.8982035928
296	0.2968685333	0.8997005988
297	0.2961210364	0.8997005988
298	0.2958292939	0.9011976048
299	0.2956822003	0.9011976048
300	0.2953613922	0.9011976048
301	0.295273806	0.9011976048
302	0.2948477167	0.9011976048
303	0.2947886596	0.9011976048
304	0.2942320304	0.9011976048
305	0.2934925801	0.9026946108
306	0.2920349587	0.9041916168
307	0.2918578573	0.9041916168
308	0.2915460077	0.9041916168
309	0.2909860062	0.9026946108
310	0.2903803825	0.9026946108
311	0.2902808099	0.9026946108
312	0.290126119	0.9026946108
313	0.2900675212	0.9026946108
314	0.2899134863	0.9026946108
315	0.2898120096	0.9026946108
316	0.2896254464	0.9026946108
317	0.2891237038	0.9026946108
318	0.2890842877	0.9026946108
319	0.2887371305	0.9026946108
320	0.2887142319	0.9026946108
321	0.2886277948	0.9026946108
322	0.288434202	0.9026946108
323	0.2882762179	0.9026946108
